Sr_No,Code,Beneficiary_Bank,Total_Txns,CB_Ratio_Pct,CB_Received,Representment_Raised,CB_Accepted
504,SRE,SREE CHARAN SOUHARDHA CO-OPERATIVE BANK LTD,20512,0.0000,0,0,0
505,VCC,VIJAY COMMERCIAL CO OPERATIVE BANK LTD,20415,0.0000,0,0,0
506,MCA,MCA,20169,0.0000,0,0,0
507,LUC,LUC,20152,0.0000,0,0,0
508,JAC,The Janata Co-operative Bank Ltd,19266,0.0050,1,1,0
509,DAU,Dausa Urban Cooperative Bank Ltd,19041,0.0000,0,0,0
510,MNS,The Modasa Nagarik Sahakari Bank Limited,18875,0.0000,0,0,0
511,AUF,Dr Appasaheb Patil Jaysingpur Udgaon Sahakari Bank Ltd,18680,0.0000,0,0,0
512,KOB,Kottayam Co-operative Urban Bank Ltd,18511,0.0000,0,0,0
513,USE,Utkarsh Small Finance Bank Credit Card,18255,0.0000,0,0,0
514,VBL,VILAS CO-OPERATIVE BANK LTD LATUR,18015,0.0000,0,0,0
515,GNC,The Gandhinagar Nagarik Co-operative Bank Ltd,17938,0.0000,0,0,0
516,BBL,Bhausaheb Sahakari Bank Ltd,17776,0.0060,1,0,1
517,JDH,JODHPUR NAGRIK SAHAKARI BANK LTD,17745,0.0000,0,0,0
518,VMC,Vidarbha Merchants Urban Co-op Bank Ltd,17613,0.0000,0,0,0
519,ABD,Appasaheb Birnale Sahakari Bank Ltd Dudhgaon,17505,0.0000,0,0,0
520,BBO,Bhausaheb Birajdar Urban Co-operative Bank Ltd Omerga,17372,0.0000,0,0,0
521,LCB,Liluah Co-operative Bank Ltd,17349,0.0000,0,0,0
522,KMC,Karnataka Mahila Sahakara Bank Niyamitha,17282,0.0000,0,0,0
523,JVN,Jivan Commercial Co-Operative Bank Ltd,17238,0.0000,0,0,0
524,ZCB,THE ZOROASTRIAN CO OPERATIVE BANK LTD,16654,0.0000,0,0,0
525,LKB,Lakhimpur Urban Cooperative Bank Ltd,16405,0.0000,0,0,0
526,CBM,The Co-op Bank of Mehsana Ltd,16304,0.0000,0,0,0
527,CUC,CHITTORGARH URBAN CO OPERATIVE BANK LTD,16116,0.0000,0,0,0
528,VES,Veerashaiva Sahakari Bank Ltd,16081,0.0000,0,0,0
529,MSN,MAHARASHTRA NAGARI SAHAKARI BANK MARYADIT LATUR,15957,0.0000,0,0,0
530,NDB,The Naval Dockyard Co-operative Bank,15767,0.0000,0,0,0
531,FCB,The Financial Co Operative Bank Ltd,15729,0.0000,0,0,0
532,HSC,The Haryana State Co-operative Apex Bank Ltd,15691,0.0000,0,0,0
533,WBS,WBS,15690,0.0000,0,0,0
534,MDN,The Mandvi Nagrik Sahakari Bank Ltd,15677,0.0000,0,0,0
535,VVB,The Vallabh Vidyanagar Commercial Co-Operative Bank Ltd,15664,0.0000,0,0,0
536,MCB,The Mahaveer Co operative Bank LTD,15532,0.0190,3,3,0
537,SSC,Sanmitra Mahila Nagari Sahakari Bank Maryadit Chandrapur,15426,0.0000,0,0,0
538,IPS,Indore Paraspar Sahakari bank Ltd,14751,0.0000,0,0,0
